0x13a,"['.\\GitHubScraping\\0x13a\\bitcoin-trading-dca\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']" 
dlitz,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
nobled,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\sjmackenzie\\i0coin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
Mischi,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
Flavien,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
Flowdalic,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\bitcoin-dot-org\\bitcoin.org\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
gdm85,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
haakonn,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
hsjoberg,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json']"
welshjf,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
jeffrade,['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json']
wjx,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json']"
joaopaulofonseca,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_4.json']"
jonathancross,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\bitcoin-dot-org\\bitcoin.org\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lrvick\\airgap\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\monero-project\\monero\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\monero-project\\monero-gui\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
kevcooper,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\bitcoin-dot-org\\bitcoin.org\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
kostaz,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
LongShao007,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
lucayepa,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\SpainCoinProject\\spaincoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
mariodian,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json']"
mhanne,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\sjmackenzie\\i0coin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
martinus,['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json']
mitchellcash,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\bitcoin-dot-org\\bitcoin.org\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_4.json']"
musalbas,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\ethereum\\pyethereum\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\ethereumproject\\pyethereum\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json']"
nathaniel-mahieu,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json']"
nbenoit,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
pavlosantoniou,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json']"
randolf,['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json']
robvanmieghem,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
rustyrussell,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lightningnetwork\\lightning-rfc\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json']"
maqifrnswa,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\bitshares\\bitshares-ui\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
sime,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
sgimenez,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\sjmackenzie\\i0coin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
drizzt,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\clemahieu\\raiblocks\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
thofmann,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\lightningnetwork\\lnd\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
wbnns,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\bitcoin-dot-org\\bitcoin.org\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json']"
jb55,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lightningnetwork\\lightning-rfc\\all_contributors\\contributors_page_1.json']"
aideca,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json']"
cardpuncher,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
constantined,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
crowning-,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_1.json']"
fivepiece,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\bitcoin-dot-org\\bitcoin.org\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lightningnetwork\\lightning-rfc\\all_contributors\\contributors_page_1.json']"
imwuzhh,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
kobake,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json']"
murrayn,['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json']
phelixbtc,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_3.json']"
shshshsh,"['.\\GitHubScraping\\bitcoin\\bitcoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\BitzenyCoreDevelopers\\bitzeny\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_3.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_2.json']"
